,id,retweet_count,favorite_count
834,694001791655137281,1118,3595
835,694183373896572928,1004,3126
836,694206574471057408,2200,4448
837,694329668942569472,542,2132
838,694352839993344000,672,2161
839,694356675654983680,313,1598
840,694669722378485760,15649,37884
841,694905863685980160,1012,2934
842,695051054296211456,851,2831
843,695064344191721472,652,1711
844,695074328191332352,1194,3015
845,695095422348574720,665,2801
846,695314793360662529,1594,3870
847,695409464418041856,3858,9146
848,695446424020918272,1957,4626
849,695629776980148225,2275,4853
850,695767669421768709,806,1984
851,695794761660297217,848,3381
852,695816827381944320,1271,3186
853,696405997980676096,1232,3409
854,696488710901260288,1120,2695
855,696713835009417216,702,2527
856,696754882863349760,387,1565
857,696877980375769088,770,2590
858,696886256886657024,1935,5132
859,696894894812565505,733,2493
860,696900204696625153,1109,3388
861,697242256848379904,720,2665
862,697255105972801536,1257,3201
863,697259378236399616,1077,3484
864,697270446429966336,2014,4952
865,697463031882764288,1491,3615
866,697482927769255936,735,2572
867,697575480820686848,548,2161
868,697596423848730625,1363,3221
869,697616773278015490,1095,3351
870,697881462549430272,1286,3202
871,697943111201378304,750,2553
872,697990423684476929,1400,3489
873,697995514407682048,360,1620
874,698178924120031232,798,2970
875,698195409219559425,6458,17787
876,698262614669991936,2170,5036
877,698342080612007937,1026,2402
878,698355670425473025,486,1983
879,698549713696649216,664,2458
880,698635131305795584,369,1364
881,698703483621523456,409,1540
882,698710712454139905,742,2624
883,698907974262222848,672,2690
884,698953797952008193,977,2872
885,698989035503689728,1064,3592
886,699036661657767936,1292,2768
887,699072405256409088,1285,3185
888,699079609774645248,710,2596
889,699088579889332224,679,2371
890,699323444782047232,934,3350
891,699370870310113280,475,1992
892,699413908797464576,669,2190
893,699423671849451520,359,1452
894,699434518667751424,551,2302
895,699446877801091073,2828,6291
896,699691744225525762,4972,10890
897,699775878809702401,658,2078
898,699779630832685056,1338,2940
899,699788877217865730,537,2381
900,699801817392291840,1041,3237
901,700002074055016451,1457,3515
902,700029284593901568,630,2193
903,700062718104104960,753,2804
904,700143752053182464,2988,8001
905,700151421916807169,714,2380
906,700167517596164096,809,2809
907,700462010979500032,1953,4398
908,700505138482569216,618,2416
909,700518061187723268,865,2799
910,700747788515020802,10154,24237
911,700796979434098688,1037,2584
912,700847567345688576,540,2581
913,700864154249383937,662,2754
914,700890391244103680,620,2355
915,701214700881756160,5538,12962
916,701545186879471618,661,2816
917,701570477911896070,1013,2987
918,701601587219795968,498,2217
919,701889187134500865,1493,3774
920,701952816642965504,1106,4031
921,701981390485725185,1074,3648
922,702217446468493312,1454,5101
923,702276748847800320,826,2630
924,702321140488925184,1118,3477
925,702539513671897089,1040,3044
926,702598099714314240,3544,10971
927,702671118226825216,605,2321
928,702684942141153280,1165,3407
929,702932127499816960,782,2750
930,703041949650034688,13574,27976
931,703079050210877440,3356,7821
932,703268521220972544,595,2088
933,703356393781329922,418,2025
934,703382836347330562,1234,3716
935,703407252292673536,758,2610
936,703425003149250560,1500,4024
937,703611486317502464,1643,4094
938,703631701117943808,748,2757
939,703769065844768768,1229,3488
940,703774238772166656,501,1957
941,704054845121142784,996,3099
942,704113298707505153,610,1970
943,704347321748819968,382,1683
944,704364645503647744,3844,8530
945,704480331685040129,1146,3605
946,704499785726889984,1081,3117
947,704761120771465216,3139,7030
948,704819833553219584,1086,2796
949,704847917308362754,1658,5422
950,704859558691414016,590,2395
951,704871453724954624,1206,4526
952,705066031337840642,656,2301
